,day_begin,day_id,rep_id,SES_Q,case_obs_f,hosp_obs_f,case_obs_ra_f,hosp_obs_ra_f
298,2020-02-29,60,3,Q3,NA,NA,NA,NA
299,2020-02-29,60,4,Q4,NA,NA,NA,NA
300,2020-02-29,60,5,Q5,NA,NA,NA,NA
301,2020-03-01,61,1,Q1,NA,NA,NA,NA
302,2020-03-01,61,2,Q2,NA,NA,NA,NA
303,2020-03-01,61,3,Q3,NA,NA,NA,NA
304,2020-03-01,61,4,Q4,NA,NA,NA,NA
305,2020-03-01,61,5,Q5,NA,NA,NA,NA
306,2020-03-02,62,1,Q1,NA,NA,NA,NA
307,2020-03-02,62,2,Q2,NA,NA,NA,NA
308,2020-03-02,62,3,Q3,NA,NA,NA,NA
309,2020-03-02,62,4,Q4,NA,NA,NA,NA
310,2020-03-02,62,5,Q5,NA,NA,NA,NA
311,2020-03-03,63,1,Q1,NA,NA,NA,NA
312,2020-03-03,63,2,Q2,NA,NA,NA,NA
313,2020-03-03,63,3,Q3,NA,NA,NA,NA
314,2020-03-03,63,4,Q4,NA,NA,NA,NA
315,2020-03-03,63,5,Q5,NA,NA,NA,NA
316,2020-03-04,64,1,Q1,NA,NA,NA,NA
317,2020-03-04,64,2,Q2,NA,NA,NA,NA
318,2020-03-04,64,3,Q3,NA,NA,NA,NA
319,2020-03-04,64,4,Q4,NA,NA,NA,NA
320,2020-03-04,64,5,Q5,NA,NA,NA,NA
321,2020-03-05,65,1,Q1,NA,NA,NA,NA
322,2020-03-05,65,2,Q2,NA,NA,NA,NA
323,2020-03-05,65,3,Q3,NA,NA,NA,NA
324,2020-03-05,65,4,Q4,NA,NA,NA,NA
325,2020-03-05,65,5,Q5,NA,NA,NA,NA
326,2020-03-06,66,1,Q1,NA,NA,NA,NA
327,2020-03-06,66,2,Q2,NA,NA,NA,NA
328,2020-03-06,66,3,Q3,NA,NA,NA,NA
329,2020-03-06,66,4,Q4,NA,NA,NA,NA
330,2020-03-06,66,5,Q5,NA,5,NA,5
331,2020-03-07,67,1,Q1,NA,5,NA,5
332,2020-03-07,67,2,Q2,NA,NA,NA,NA
333,2020-03-07,67,3,Q3,NA,NA,NA,NA
334,2020-03-07,67,4,Q4,NA,NA,NA,NA
335,2020-03-07,67,5,Q5,NA,NA,NA,5
336,2020-03-08,68,1,Q1,NA,6,NA,"5,5"
337,2020-03-08,68,2,Q2,NA,8,NA,8
338,2020-03-08,68,3,Q3,NA,NA,NA,NA
339,2020-03-08,68,4,Q4,NA,NA,NA,NA
340,2020-03-08,68,5,Q5,NA,NA,NA,5
341,2020-03-09,69,1,Q1,NA,7,NA,6
342,2020-03-09,69,2,Q2,NA,15,NA,"11,5"
343,2020-03-09,69,3,Q3,NA,NA,NA,NA
344,2020-03-09,69,4,Q4,NA,NA,NA,NA
345,2020-03-09,69,5,Q5,NA,NA,NA,5
346,2020-03-10,70,1,Q1,NA,9,NA,"6,75"
347,2020-03-10,70,2,Q2,NA,8,NA,10333
348,2020-03-10,70,3,Q3,NA,8,NA,8
349,2020-03-10,70,4,Q4,NA,NA,NA,NA
350,2020-03-10,70,5,Q5,NA,6,NA,"5,5"
351,2020-03-11,71,1,Q1,NA,11,NA,"7,6"
352,2020-03-11,71,2,Q2,NA,7,NA,"9,5"
353,2020-03-11,71,3,Q3,NA,7,NA,"7,5"
354,2020-03-11,71,4,Q4,NA,NA,NA,NA
355,2020-03-11,71,5,Q5,NA,NA,NA,"5,5"
356,2020-03-12,72,1,Q1,NA,24,NA,10333
357,2020-03-12,72,2,Q2,NA,17,NA,11
358,2020-03-12,72,3,Q3,NA,12,NA,9
359,2020-03-12,72,4,Q4,NA,6,NA,6
360,2020-03-12,72,5,Q5,NA,10,NA,7
361,2020-03-13,73,1,Q1,NA,24,NA,12286
362,2020-03-13,73,2,Q2,NA,20,NA,"12,5"
363,2020-03-13,73,3,Q3,NA,16,NA,"10,75"
364,2020-03-13,73,4,Q4,NA,12,NA,9
365,2020-03-13,73,5,Q5,NA,10,NA,8667
366,2020-03-14,74,1,Q1,NA,19,NA,14286
367,2020-03-14,74,2,Q2,NA,20,NA,13571
368,2020-03-14,74,3,Q3,NA,17,NA,12
369,2020-03-14,74,4,Q4,NA,10,NA,9333
370,2020-03-14,74,5,Q5,NA,10,NA,9
371,2020-03-15,75,1,Q1,NA,35,NA,18429
372,2020-03-15,75,2,Q2,NA,37,NA,17714
373,2020-03-15,75,3,Q3,NA,7,NA,11167
374,2020-03-15,75,4,Q4,NA,13,NA,"10,25"
375,2020-03-15,75,5,Q5,NA,17,NA,"10,6"
376,2020-03-16,76,1,Q1,NA,57,NA,25571
377,2020-03-16,76,2,Q2,NA,61,NA,24286
378,2020-03-16,76,3,Q3,NA,17,NA,12
379,2020-03-16,76,4,Q4,NA,24,NA,13
380,2020-03-16,76,5,Q5,NA,20,NA,12167
381,2020-03-17,77,1,Q1,NA,61,NA,33
382,2020-03-17,77,2,Q2,NA,55,NA,31
383,2020-03-17,77,3,Q3,NA,30,NA,15143
384,2020-03-17,77,4,Q4,NA,22,NA,"14,5"
385,2020-03-17,77,5,Q5,NA,25,NA,15333
386,2020-03-18,78,1,Q1,NA,72,NA,41714
387,2020-03-18,78,2,Q2,NA,81,NA,41571
388,2020-03-18,78,3,Q3,NA,30,NA,18429
389,2020-03-18,78,4,Q4,NA,36,NA,17571
390,2020-03-18,78,5,Q5,NA,31,NA,17571
391,2020-03-19,79,1,Q1,NA,107,NA,53571
392,2020-03-19,79,2,Q2,NA,128,NA,57429
393,2020-03-19,79,3,Q3,NA,57,NA,24857
394,2020-03-19,79,4,Q4,NA,51,NA,24
395,2020-03-19,79,5,Q5,NA,37,NA,21429
396,2020-03-20,80,1,Q1,NA,114,NA,66429
397,2020-03-20,80,2,Q2,NA,107,NA,69857
398,2020-03-20,80,3,Q3,NA,50,NA,29714
399,2020-03-20,80,4,Q4,NA,36,NA,27429
400,2020-03-20,80,5,Q5,NA,40,NA,25714
401,2020-03-21,81,1,Q1,NA,79,NA,75
402,2020-03-21,81,2,Q2,NA,101,NA,81429
403,2020-03-21,81,3,Q3,NA,35,NA,32286
404,2020-03-21,81,4,Q4,NA,38,NA,31429
405,2020-03-21,81,5,Q5,NA,24,NA,27714
406,2020-03-22,82,1,Q1,NA,101,NA,84429
407,2020-03-22,82,2,Q2,NA,85,NA,88286
408,2020-03-22,82,3,Q3,NA,53,NA,38857
409,2020-03-22,82,4,Q4,NA,53,NA,37143
410,2020-03-22,82,5,Q5,NA,31,NA,29714
411,2020-03-23,83,1,Q1,NA,175,NA,101286
412,2020-03-23,83,2,Q2,NA,198,NA,107857
413,2020-03-23,83,3,Q3,NA,100,NA,50714
414,2020-03-23,83,4,Q4,NA,64,NA,42857
415,2020-03-23,83,5,Q5,NA,81,NA,38429
416,2020-03-24,84,1,Q1,NA,172,NA,117143
417,2020-03-24,84,2,Q2,NA,159,NA,122714
418,2020-03-24,84,3,Q3,NA,93,NA,59714
419,2020-03-24,84,4,Q4,NA,73,NA,50143
420,2020-03-24,84,5,Q5,NA,71,NA,45
421,2020-03-25,85,1,Q1,NA,163,NA,130143
422,2020-03-25,85,2,Q2,NA,183,NA,137286
423,2020-03-25,85,3,Q3,NA,66,NA,64857
424,2020-03-25,85,4,Q4,NA,80,NA,56429
425,2020-03-25,85,5,Q5,NA,72,NA,50857
426,2020-03-26,86,1,Q1,NA,170,NA,139143
427,2020-03-26,86,2,Q2,NA,159,NA,141714
428,2020-03-26,86,3,Q3,NA,85,NA,68857
429,2020-03-26,86,4,Q4,NA,80,NA,60571
430,2020-03-26,86,5,Q5,NA,58,NA,53857
431,2020-03-27,87,1,Q1,NA,195,NA,150714
432,2020-03-27,87,2,Q2,NA,206,NA,155857
433,2020-03-27,87,3,Q3,NA,116,NA,78286
434,2020-03-27,87,4,Q4,NA,89,NA,68143
435,2020-03-27,87,5,Q5,NA,71,NA,58286
436,2020-03-28,88,1,Q1,NA,104,NA,154286
437,2020-03-28,88,2,Q2,NA,109,NA,157
438,2020-03-28,88,3,Q3,NA,80,NA,84714
439,2020-03-28,88,4,Q4,NA,48,NA,69571
440,2020-03-28,88,5,Q5,NA,36,NA,60
441,2020-03-29,89,1,Q1,NA,119,NA,156857
442,2020-03-29,89,2,Q2,NA,79,NA,156143
443,2020-03-29,89,3,Q3,NA,61,NA,85857
444,2020-03-29,89,4,Q4,NA,38,NA,67429
445,2020-03-29,89,5,Q5,NA,25,NA,59143
446,2020-03-30,90,1,Q1,NA,167,NA,155714
447,2020-03-30,90,2,Q2,NA,141,NA,148
448,2020-03-30,90,3,Q3,NA,99,NA,85714
449,2020-03-30,90,4,Q4,NA,89,NA,71
450,2020-03-30,90,5,Q5,NA,72,NA,57857
451,2020-03-31,91,1,Q1,NA,131,NA,149857
452,2020-03-31,91,2,Q2,NA,119,NA,142286
453,2020-03-31,91,3,Q3,NA,66,NA,81857
454,2020-03-31,91,4,Q4,NA,44,NA,66857
455,2020-03-31,91,5,Q5,NA,37,NA,53
456,2020-04-01,92,1,Q1,NA,122,NA,144
457,2020-04-01,92,2,Q2,NA,106,NA,131286
458,2020-04-01,92,3,Q3,NA,78,NA,83571
459,2020-04-01,92,4,Q4,NA,53,NA,63
460,2020-04-01,92,5,Q5,NA,35,NA,47714
461,2020-04-02,93,1,Q1,NA,146,NA,140571
462,2020-04-02,93,2,Q2,NA,119,NA,125571
463,2020-04-02,93,3,Q3,NA,60,NA,80
464,2020-04-02,93,4,Q4,NA,65,NA,60857
465,2020-04-02,93,5,Q5,NA,38,NA,44857
466,2020-04-03,94,1,Q1,NA,127,NA,130857
467,2020-04-03,94,2,Q2,NA,113,NA,112286
468,2020-04-03,94,3,Q3,NA,95,NA,77
469,2020-04-03,94,4,Q4,NA,56,NA,56143
470,2020-04-03,94,5,Q5,NA,38,NA,40143
471,2020-04-04,95,1,Q1,NA,69,NA,125857
472,2020-04-04,95,2,Q2,NA,49,NA,103714
473,2020-04-04,95,3,Q3,NA,36,NA,70714
474,2020-04-04,95,4,Q4,NA,26,NA,53
475,2020-04-04,95,5,Q5,NA,18,NA,37571
476,2020-04-05,96,1,Q1,NA,84,NA,120857
477,2020-04-05,96,2,Q2,NA,71,NA,102571
478,2020-04-05,96,3,Q3,NA,50,NA,69143
479,2020-04-05,96,4,Q4,NA,37,NA,52857
